v1,v2
spam	BangBabes Ur order is on the way. U SHOULD receive a Service Msg 2 download UR content. If U do not, GoTo wap. bangb. tv on UR mobile internet/service menu
ham	Hi frnd, which is best way to avoid missunderstding wit our beloved one's?
ham	Sir, I need AXIS BANK account no and bank address.
ham	Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call u to discuss liao... 
ham	Well, i'm gonna finish my bath now. Have a good...fine night.
ham	Turns out my friends are staying for the whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth
ham	He will, you guys close?
ham	Haha awesome, be there in a minute
ham	As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.
ham	Aight yo, dats straight dogg
ham	What's up bruv, hope you had a great break. Do have a rewarding semester.
ham	Sorry, I'll call later
spam	500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY Â£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18
ham	Life is more strict than teacher... Bcoz Teacher teaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . .
ham	Sorry battery died, yeah I'm here
ham	Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched...
ham	Ups which is 3days also, and the shipping company that takes 2wks. The other way is usps which takes a week but when it gets to lag you may have to bribe nipost to get your stuff.
ham	I'm back, lemme know when you're ready
ham	Not sure yet, still trying to get a hold of him
ham	Come to mu, we're sorting out our narcotics situation
ham	Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay.
ham	Usf I guess, might as well take 1 car
ham	Awesome, I'll see you in a bit
ham	Yeah I think my usual guy's still passed out from last night, if you get ahold of anybody let me know and I'll throw down
ham	K, I might come by tonight then if my class lets out early
ham	Awesome, I remember the last time we got somebody high for the first time with diesel :V
spam	SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE
ham	Hi the way I was with u 2day, is the normal way&this is the real me. UR unique&I hope I know u 4 the rest of mylife. Hope u find wot was lost.
ham	Not really dude, have no friends i'm afraid :(
ham	Coffee cake, i guess...
ham	Merry Christmas to you too babe, i love ya *kisses*
ham	Cool, text me when you're parked
ham	Ta-Daaaaa! I am home babe, are you still up ?
ham	Sorry, I'll call later
ham	Nah can't help you there, I've never had an iphone
ham	Hello! Just got here, st andrews-boy its a long way! Its cold. I will keep you posted
ham	Good afternoon sunshine! How dawns that day ? Are we refreshed and happy to be alive? Do we breathe in the air and smile ? I think of you, my love ... As always
spam	Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=
ham	Cool, text me when you're ready
ham	Hello my boytoy ... Geeee I miss you already and I just woke up. I wish you were here in bed with me, cuddling me. I love you ...
spam	Thanks for your Ringtone Order, Reference T91. You will be charged GBP 4 per week. You can unsubscribe at anytime by calling customer services on 09057039994
ham	I guess that's why you re worried. You must know that there's a way the body repairs itself. And i'm quite sure you shouldn't worry. We'll take it slow. First the tests, they will guide when your ovulation is then just relax. Nothing you've said is a reason to worry but i.ll keep on followin you up.
ham	Yeah sure, give me a couple minutes to track down my wallet
spam	Double mins and txts 4 6months FREE Bluetooth on Orange. Available on Sony, Nokia Motorola phones. Call MobileUpd8 on 08000839402 or call2optout/N9DX
ham	You are always putting your business out there. You put pictures of your ass on facebook. You are one of the most open people i've ever met. Why would i think a picture of your room would hurt you, make you feel violated.
spam	FREE RINGTONE text FIRST to 87131 for a poly or text GET to 87131 for a true tone! Help? 0845 2814032 16 after 1st free, tones are 3xÂ£150pw to eÂ£nd txt stop
ham	Yep, the great loxahatchee xmas tree burning of  &lt;#&gt;  starts in an hour
ham	Haha get used to driving to usf man, I know a lot of stoners
ham	Ask g or iouri, I've told the story like ten times already
ham	Hi hope u get this txt~journey hasnt been gd,now about 50 mins late I think.
ham	Sorry, I'll call later
"ham	""HEY HEY WERETHE MONKEESPEOPLE SAY WE MONKEYAROUND! HOWDY GORGEOUS"," HOWU DOIN? FOUNDURSELF A JOBYET SAUSAGE?LOVE JEN XXX"""
spam	Loan for any purpose Â£500 - Â£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'
ham	LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONÂT LIKE ME LIKE THAT SO DONÂT WORRY.
spam	UpgrdCentre Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9153. Offer ends 26th July. T&C's apply. Opt-out available
ham	Sorry, I'll call later ok bye
ham	Yup, no need. I'll jus wait 4 e rain 2 stop.
ham	How long has it been since you screamed, princess?
ham	Nothing. I meant that once the money enters your account here, the bank will remove its flat rate. Someone transfered  &lt;#&gt;  to my account and  &lt;#&gt; dollars got removed. So the banks differ and charges also differ.be sure you trust the 9ja person you are sending account details to cos...
ham	K, can I pick up another 8th when you're done?
ham	Almost there, see u in a sec
spam	FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com
ham	Sorry man my account's dry or I would, if you want we could trade back half or I could buy some shit with my credit card
ham	Sorry,in meeting I'll call later
ham	Kate jackson rec center before 7ish, right?
ham	Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.
ham	Maybe westshore or hyde park village, the place near my house?
ham	8 at the latest, g's still there if you can scrounge up some ammo and want to give the new ak a try
spam	You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a Â£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+
ham	That's very rude, you on campus?
spam	URGENT!: Your Mobile No. was awarded a Â£2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU
spam	Today's Offer! Claim ur Â£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. Â£3.00 Sub. 16 . Unsub reply X
ham	I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day.
ham	Probably gonna be here for a while, see you later tonight &lt;)
ham	I am in tirupur da, once you started from office call me.
ham	A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'
ham	Sorry that took so long, omw now
ham	Hurry up, I've been weed-deficient for like three days
ham	Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo
ham	Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ...
ham	Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?
ham	I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.
spam	our mobile number has won Â£5000, to claim calls us back or ring the claims hot line on 09050005321.
ham	Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.
ham	I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... 
ham	I'm in a meeting, call me later at
spam	For ur chance to win a Â£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk
ham	I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...
ham	It's fine, imma get a drink or somethin. Want me to come find you?
ham	Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash
ham	Haha good to hear, I'm officially paid and on the market for an 8th
ham	Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola
ham	What will we do in the shower, baby?
ham	Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out
ham	Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?
ham	Wait, do you know if wesleys in town? I bet she does hella drugs!
ham	Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng
ham	It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com
"spam	SMS. ac sun0819 posts HELLO:""You seem cool"," wanted to say hi. HI!!!"" Stop? Send STOP to 62468"
ham	Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.
ham	I've got  &lt;#&gt; , any way I could pick up?
ham	I dont knw pa, i just drink milk..
ham	Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...
ham	Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8
ham	Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.
ham	My sister in law, hope you are having a great month. Just saying hey. Abiola
ham	Aight, you close by or still down around alex's place?
ham	Sorry, I'll call later
ham	I don't think I can get away for a trek that long with family in town, sorry
spam	To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT
"ham	Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:""if it is made by my students",this wont even start........ Datz confidence..
ham	Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.
ham	Alright omw, gotta change my order to a half8th
ham	I promise to take good care of you, princess. I have to run now. Please send pics when you get a chance. Ttyl!
spam	Do you realize that in about 40 years, we'll have thousands of old ladies running around with tattoos?
ham	Call me when you/carlos is/are here, my phone's vibrate is acting up and I might not hear texts
spam	Romantic Paris. 2 nights, 2 flights from Â£79 Book now 4 next year. Call 08704439680Ts&Cs apply.
ham	We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat.
ham	Sorry, I'll call later
ham	idc get over here, you are not weaseling your way out of this shit twice in a row
ham	Hmmm ... I thought we said 2 hours slave, not 3 ... You are late ... How should I punish you ?
ham	She was supposed to be but couldn't make it, she's still in town though
spam	Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa
ham	sure, but make sure he knows we ain't smokin yet
ham	He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up
ham	Sorry light turned green, I meant another friend wanted  &lt;#&gt;  worth but he may not be around
ham	Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy! This is the message i sent days ago
ham	Sir, I have been late in paying rent for the past few months and had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thanks
ham	Pls send me a comprehensive mail about who i'm paying, when and how much.
spam	Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+ 
spam	Today's Offer! Claim ur Â£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. Â£3.00 Sub. 16 . Unsub reply X
ham	I am real, baby! I want to bring out your inner tigress...
ham	Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter
ham	Well am officially in a philosophical hole, so if u wanna call am at home ready to be saved!
ham	I'm used to it. I just hope my agents don't drop me since i've only booked a few things this year. This whole me in boston, them in nyc was an experiment.
ham	I wonder if your phone battery went dead ? I had to tell you, I love you babe
ham	We're all getting worried over here, derek and taylor have already assumed the worst
spam	January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)
ham	Call me da, i am waiting for your call.
ham	K, wait chikku..il send aftr  &lt;#&gt; mins
spam	Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or Â£1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH.
spam	Urgent! call 09061749602 from Landline. Your complimentary 4* Tenerife Holiday or Â£10,000 cash await collection SAE T&Cs BOX 528 HP20 1YF 150ppm 18+
ham	Awesome, lemme know whenever you're around
ham	Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?
ham	It wont b until 2.15 as trying 2 sort house out, is that ok?
ham	Yar lor he wan 2 go c horse racing today mah, so eat earlier lor. I ate chicken rice. U?
ham	Haha awesome, omw back now then
ham	I can't, I don't have her number!
ham	Aight will do, thanks again for comin out
ham	I just got home babe, are you still awake ?
ham	Ya, told..she was asking wats matter?
ham	Dear,regret i cudnt pick call.drove down frm ctla now at cochin home.left mobile in car..ente style ishtamayoo?happy bakrid!
ham	Lol you forgot it eh ? Yes, I'll bring it in babe
ham	Its good, we'll find a way
ham	OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!
ham	Hello baby, did you get back to your mom's ? Are you setting up the computer now ? Filling your belly ? How goes it loverboy ? I miss you already ... *sighs*
ham	No my blankets are sufficient, thx
spam	We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p
ham	Come round, it's . 
spam	1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!
ham	I got another job! The one at the hospital doing data analysis or something, starts on monday! Not sure when my thesis will got finished
ham	That's fine, I'll bitch at you about it later then
ham	alright, I'll make sure the car is back tonight
ham	Yep, by the pretty sculpture
ham	Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home.
ham	Good afternoon, my love. How goes your day ? What are you up to ? I woke early and am online waiting for you ... Hmmm ... Italian boy is online I see . *grins*
ham	Awesome, think we can get an 8th at usf some time tonight?
ham	No I'm good for the movie, is it ok if I leave in an hourish?
"ham	Height of ""Oh shit....!!"" situation: A guy throws a luv letter on a gal but falls on her brothers head whos a gay",.;-):-D
ham	So check your errors and if you had difficulties, do correction.
ham	Sorry, I'll call later
ham	As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there.
spam	Thank you, winner notified by sms. Good Luck! No future marketing reply STOP to 84122 customer services 08450542832
ham	Sorry, I'll call later
ham	Sorry man, accidentally left my phone on silent last night and didn't check it til I got up
ham	Haha yeah I see that now, be there in a sec
ham	Yeah, we can probably swing by once my roommate finishes up with his girl
spam	Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!
ham	I'm outside islands, head towards hard rock and you'll run into me
ham	K give me a sec, breaking a  &lt;#&gt;  at cstore
ham	Yo, you around? Just got my car back
ham	Goodmorning, Today i am late for  &lt;#&gt; min.
ham	Al he does is moan at me if n e thin goes wrong its my fault&al de arguments r my fault&fed up of him of himso y bother? Hav 2go, thanx.xx
ham	Me also da, i feel yesterday night  wait til 2day night dear.
ham	Yo, the game almost over? Want to go to walmart soon
ham	Damn, can you make it tonight or do you want to just wait til tomorrow
ham	True. It is passable. And if you get a high score and apply for phd, you get 5years of salary. So it makes life easier.
ham	sir, you will receive the account no another 1hr time. Sorry for the delay.
ham	Dear relieved of westonzoyland, all going to plan this end too!
ham	I want to show you the world, princess :) how about europe?
ham	I do know what u mean,  is the king of not havin credit! I'm goin2bed now. Night night sweet! Only1more sleep! 
ham	Not yet chikku..going to room nw, i'm in bus..
ham	We have sent JD for Customer Service cum Accounts Executive to ur mail id, For details contact us
ham	Yo, I'm at my parents' gettin cash. Good news: we picked up a downstem
ham	Thank you so much. When we skyped wit kz and sura, we didnt get the pleasure of your company. Hope you are good. We've given you ultimatum oh! We are countin down to aburo. Enjoy!
spam	Hungry gay guys feeling hungry and up 4 it, now. Call 08718730555 just 10p/min. To stop texts call 08712460324 (10p/min)
ham	Im in inperialmusic listening2the weirdest track ever byÂleafcutter johnÂ-sounds like insects being molested&someone plumbing,remixed by evil men on acid!
"ham	""Hey sorry I didntgive ya a a bellearlier hunny","just been in bedbut mite go 2 thepub l8tr if uwana mt up?loads a luv Jenxxx."""
ham	Tee hee. Off to lecture, cheery bye bye.
ham	Sorry chikku, my cell got some problem thts y i was nt able to reply u or msg u..
ham	Just wondering, the others just took off
ham	Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng
ham	What do you do, my dog ? Must I always wait till the end of your day to have word from you ? Did you run out of time on your cell already?
ham	Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May
ham	Hey babe! I saw you came online for a second and then you disappeared, what happened ?
ham	K so am I, how much for an 8th? Fifty?
ham	FRAN I DECIDED 2 GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT 3 C U 2MRW LOVE JANX P.S THIS IS MY DADS FONE, -NO CREDIT
ham	Ok, be careful ! Don't text and drive !
ham	I.ll always be there, even if its just in spirit. I.ll get a bb soon. Just trying to be sure i need it.
spam	Win the newest âHarry Potter and the Order of the Phoenix (Book 5) reply HARRY, answer 5 questions - chance to be the first among readers!
ham	Just sent again. Do you scream and moan in bed, princess?
ham	I wake up long ago already... Dunno, what other thing?
ham	Aight no rush, I'll ask jay
ham	Oh... Icic... K lor, den meet other day...
ham	Oh ! A half hour is much longer in Syria than Canada, eh ? Wow you must get SO much more work done in a day than us with all that extra time ! *grins*
ham	Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)
ham	Sweet, we may or may not go to 4U to meet carlos so gauge patty's interest in that
ham	Nothing much, chillin at home. Any super bowl plan?
spam	FREE2DAY sexy St George's Day pic of Jordan!Txt PIC to 89080 dont miss out, then every wk a saucy celeb!4 more pics c PocketBabe.co.uk 0870241182716 Â£3/wk
ham	Goodnight, sleep well da please take care pa. Please.
ham	Good afternoon loverboy ! How goes you day ? Any luck come your way? I think of you, sweetie and send my love across the sea to make you smile and happy
ham	&lt;#&gt; %of pple marry with their lovers... becz they hav gud undrstndng dat avoids problems. i sent dis 2 u, u wil get gud news on friday by d person you like. And tomorrow will be the best day of your life. Dont break this chain. If you break you will suffer. send this to  &lt;#&gt;  frnds in &lt;#&gt;  mins whn u read...
ham	Yetunde, i'm sorry but moji and i seem too busy to be able to go shopping. Can you just please find some other way to get what you wanted us to get. Please forgive me. You can reply free via yahoo messenger.
spam	HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870..k
ham	1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)
spam	500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY Â£1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18 TXTAUCTION
ham	Ya tel, wats ur problem..
ham	Haha just kidding, papa needs drugs
ham	No, I decided that only people who care about stuff vote and caring about stuff is for losers
spam	URGENT, IMPORTANT INFORMATION FOR O2 USER. TODAY IS YOUR LUCKY DAY! 2 FIND OUT WHY LOG ONTO HTTP://WWW.URAWINNER.COM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU
ham	I've got ten bucks, jay is being noncomittal
ham	I jus hope its true that  missin me cos i'm really missin him! You haven't done anything to feel guilty about, yet.
ham	Arms fine, how's Cardiff and uni? 
ham	Its ok., i just askd did u knw tht no?
ham	That's good, because I need drugs
ham	Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.
ham	Yalru lyfu astne chikku.. Bt innu mundhe lyf ali halla ke bilo (marriage)program edhae, so lyf is nt yet ovr chikku..ali vargu lyfu meow meow:-D
spam	09066362231 URGENT! Your mobile No 07xxxxxxxxx won a Â£2,000 bonus caller prize on 02/06/03! this is the 2nd attempt to reach YOU! call 09066362231 ASAP!
spam	YOU 07801543489 are guaranteed the latests Nokia Phone, a 40GB iPod MP3 player or a Â£500 prize! Txt word:COLLECT to No:83355! TC-LLC NY-USA 150p/Mt msgrcvd18+
ham	Just sent you an email â to an address with incomm in it, is that right?
ham	Will do, you gonna be at blake's all night? I might be able to get out of here a little early
ham	Nice. Wait...should you be texting right now? I'm not gonna pay your ticket, ya know!
ham	I'm a guy, browsin is compulsory
ham	Sorry, I'll call later
ham	(I should add that I don't really care and if you can't I can at least get this dude to fuck off but hey, your money if you want it)
ham	Hello lover! How goes that new job? Are you there now? Are you happy? Do you think of me? I wake, my slave and send you a teasing kiss from across the sea
ham	Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later.
spam	Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz
ham	Time n Smile r the two crucial things in our life. Sometimes time makes us to forget smile, and sometimes someone's smile makes us to forget time gud noon
spam	SMS. ac JSco: Energy is high, but u may not know where 2channel it. 2day ur leadership skills r strong. Psychic? Reply ANS w/question. End? Reply END JSCO
spam	HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call
ham	Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)
spam	URGENT! Your Mobile No was awarded a Â£2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate
ham	Me, i dont know again oh
"ham	Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but", don't miss ur best life for anything... Gud nyt...
ham	Just got some gas money, any chance you and the gang want to go on a grand nature adventure?
ham	The  &lt;#&gt; g that i saw a few days ago, the guy wants sell wifi only for  &lt;#&gt;  and with 3g for  &lt;#&gt; . That's why i blanked him.
ham	whatever, im pretty pissed off.
ham	Sounds gd... Haha... Can... Wah, u yan jiu so fast liao...
ham	Remember all those whom i hurt during days of satanic imposter in me.need to pay a price,so be it.may destiny keep me going and as u said pray that i get the mind to get over the same.
ham	Why is that, princess? I bet the brothas are all chasing you!
ham	I shall book chez jules for half eight, if that's ok with you?
ham	Sorry, I'll call later
ham	Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)
ham	Yeah probably, I still gotta check out with leo
ham	Living is very simple.. Loving is also simple.. Laughing is too simple.. Winning is tooo simple.. But, being 'SIMPLE' is very difficult.. Gud nte.:-
ham	You have come into my life and brought the sun ..Shiny down on me, warming my heart. Putting a constant smile on my face ... Making me feel loved and cared for
ham	Evening * v good if somewhat event laden. Will fill you in, don't you worry â¦ Head * ok but throat * wrecked. See you at six then!
spam	For ur chance to win a Â£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk
ham	Yeah, where's your class at?
ham	You aren't coming home between class, right? I need to work out and shower!
ham	Yes..but they said its IT.,
"ham	Very hurting n meaningful lines ever: ""I compromised everything for my love"," But at d end my love compromised me for everything:-("".. Gud mornin:-)"
"ham	Painful words- ""I thought being Happy was the most toughest thing on Earth... But"," the toughest is acting Happy with all unspoken pain inside.."""
ham	So many people seems to be special at first sight, But only very few will remain special to you till your last sight.. Maintain them till life ends.. Sh!jas
ham	Sorry man, my stash ran dry last night and I can't pick up more until sunday
spam	Free msg. Sorry, a service you ordered from 81303 could not be delivered as you do not have sufficient credit. Please top up to receive the service.
ham	How's my loverboy doing ? What does he do that keeps him from coming to his Queen, hmmm ? Doesn't he ache to speak to me ? Miss me desparately ?
ham	(No promises on when though, haven't even gotten dinner yet)
ham	Sorry about earlier. Putting out fires.Are you around to talk after 9? Or do you actually have a life, lol!
ham	Fighting with the world is easy, u either win or lose bt fightng with some1 who is close to u is dificult if u lose - u lose if u win - u still lose.
ham	K, can that happen tonight?
spam	Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive Â£5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....
ham	I think we're going to finn's now, come
ham	IÂm cool ta luv but v.tired 2 cause i have been doin loads of planning all wk, we have got our social services inspection at the nursery! Take care & spk sn x.
ham	K, want us to come by now?
ham	Good afternoon sexy buns! How goes the job search ? I wake and you are my first thought as always, my love. I wish your fine and happy and know I adore you!
ham	I'm not coming over, do whatever you want
ham	Its ok chikku, and its my 1 of favourite song..:-)
spam	Loan for any purpose Â£500 - Â£75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'
ham	;-( oh well, c u later
ham	Do you know why god created gap between your fingers..? So that, One who is made for you comes &amp; fills those gaps by holding your hand with LOVE..!
spam	WIN: We have a winner! Mr. T. Foley won an iPod! More exciting prizes soon, so keep an eye on ur mobile or visit www.win-82050.co.uk
ham	I hope your alright babe? I worry that you might have felt a bit desparate when you learned the job was a fake ? I am here waiting when you come back, my love
ham	Hey, can you tell me blake's address? Carlos wanted me to meet him there but I got lost and he's not answering his phone
